step_size,                  x,              v_num,            u_exact,

1.38859e-310,                   0,                -nan,                   0,

1.38859e-310,        1.38859e-310,                -nan,                   0,

1.38859e-310,        2.77718e-310,                -nan,                   0,

1.38859e-310,        4.16577e-310,                -nan,                   0,

1.38859e-310,        5.55436e-310,                   0,                   0,

1.38859e-310,        6.94295e-310,                -nan,                   0,

